country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Thailand,18.8,18.4,17.3,16.3,16.2,14.7,17.1,7.7,7,6.7,6.7,6.6,6.7,6.6,6.2,3.1,3
Tajikistan,,,85.1,75.1,39.6,27.6,24.3,36.9,33.3,27.1,25.6,23.3,21.5,16.8,19.3,18,17.5
Timor-Leste,,155,125,88,13.1,6.9,5.8,5.7,5,2.9,2.9,0.3,0.3,0.5,0.5,0.6,0.7
Tonga,16.1,13.9,11.7,10.3,10.8,9.6,8.2,7,10.3,8,7.4,7.4,7.5,6.8,7.1,6.5,6
Trinidad and Tobago,,,1.3,1.1,0.9,0.9,0.7,0.8,0.8,0.7,0.8,0.7,0.7,0.6,0.8,0.7,0.7
Tunisia,11.9,11.1,10.1,9.3,8.3,7.9,5.7,5,4.2,4.1,4.7,4.2,3.9,4.7,4.6,4.3,2.9
Turkey,36.8,26,28.7,27.7,21.8,15.6,14.8,17.8,18.1,17.6,19.3,22.5,22.2,21.8,15.9,10.6,6
Tanzania,377,350,303,222,156,137,122,102,94.7,86.5,75.2,73.8,77.3,54,48.1,45.6,40.6
Uganda,123,111,99.2,96,92,101,84.4,94.4,84.5,76.7,78.3,70.9,48.6,46.1,42.6,42.7,40.5
Ukraine,29.9,21.3,13.4,11.5,9.8,6.8,6.8,7.1,5.2,2.2,1.9,1.8,1.1,0.9,0.8,0.6,0.5
Uruguay,51.3,48.2,43.9,44.2,46,43.5,40,42.1,24.9,24,23.5,22.8,21.7,22.5,22.5,22.6,24.1
United States,,,,,,,,,,,1.2,1.2,1.1,1.1,1.1,1,1
Uzbekistan,14.4,12.8,11.5,11.7,11.9,8.1,10.1,10.8,5.3,3.8,3.5,3.3,3.4,3.2,3.1,3.1,2.2
St. Vincent and the Grenadines,,,35.7,33.8,29.2,26.8,21,21.2,22.3,17.9,17.2,16.7,16.5,16.1,15.8,15.4,13.9
Venezuela,43.9,37.9,28.8,25.4,10,26.8,24,30.2,26.1,27.7,35.6,49.9,89,137,352,393,212
Vietnam,31.9,30.6,27.6,24.3,20,16.8,13.3,12.1,10.7,8.8,7.7,5.3,4.9,4.6,6.5,6.1,5.6
Vanuatu,66.9,81.8,83.5,78,69.9,69.7,53.5,48.2,47.1,47.2,46.2,46.2,44.2,44.3,44.4,42,42.5
Samoa,52.3,48.7,46.4,45.5,41.3,39.8,9.9,9.8,9.7,9.5,9.6,9.4,8,7.7,7.3,7.2,6.9
Yemen,257,269,240,228,179,93,83,82.1,83.8,71.9,66.1,66.3,68,82.2,73.5,119,40.2
South Africa,9.4,9.1,8.6,6.9,7.1,6,5.9,6,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2
Zambia,33.2,31.7,30.3,29.9,30.5,28.6,28.4,27.9,26.9,27,32.6,33.7,34.3,34.7,34.2,32.8,34
Zimbabwe,371,315,224,180,676,597,354,198,157,127,129,120,118,122,110,111,76.6
